10.0.0.1 - - [26/Jan/2024:10:00:01 +0100] "GET /login.php HTTP/1.1" 200 1542 "-" "Mozilla/5.0"
192.168.50.5 - - [26/Jan/2024:10:05:22 +0100] "POST /login.php HTTP/1.1" 401 532 "-" "Mozilla/5.0"
192.168.50.5 - - [26/Jan/2024:10:05:23 +0100] "POST /login.php HTTP/1.1" 401 532 "-" "Mozilla/5.0"
192.168.50.5 - - [26/Jan/2024:10:05:24 +0100] "POST /login.php HTTP/1.1" 401 532 "-" "Mozilla/5.0"
192.168.50.5 - - [26/Jan/2024:10:05:25 +0100] "POST /login.php HTTP/1.1" 401 532 "-" "Mozilla/5.0"
192.168.50.5 - - [26/Jan/2024:10:05:26 +0100] "POST /login.php HTTP/1.1" 302 450 "-" "Mozilla/5.0"
192.168.50.5 - - [26/Jan/2024:10:05:27 +0100] "GET /admin/dashboard.php HTTP/1.1" 200 3450 "-" "Mozilla/5.0"
45.33.22.11 - - [26/Jan/2024:11:00:00 +0100] "POST /api/v1/auth HTTP/1.1" 401 120 "-" "python-requests/2.28"
45.33.22.11 - - [26/Jan/2024:11:00:01 +0100] "POST /api/v1/auth HTTP/1.1" 401 120 "-" "python-requests/2.28"
45.33.22.11 - - [26/Jan/2024:11:00:02 +0100] "POST /api/v1/auth HTTP/1.1" 401 120 "-" "python-requests/2.28"
88.1.1.1 - - [26/Jan/2024:12:00:00 +0100] "GET / HTTP/1.1" 200 1200 "-" "Mozilla/5.0"
